氏名,,等級,,評価期間,,一次評価者,,二次評価者,
件数ボーダー,,当期の平均件数,,遵守率,,NVA枠(時間/月),,
今期のNVA枠テーマ1,,テーマ2,,テーマ3,,
,,,,,,,,,
大項目,No,小項目(期待行動),確認方法(エビデンス),自己評価,一次評価,根拠となる事実(必須),二次評価,確定,備考
①理念の行動化,S1-1,迷ったときに理念で決め、その理由を言葉にできる,1on1での事例申告・カンファ記録,,,,,,
①理念の行動化,S1-2,記録が「処置の羅列」でなく「生活がどう変わったか」になっている,記録の抜き取りレビュー(月2件),,,,,,
①理念の行動化,S1-3,理念に反する場面(雑な引き継ぎ・不適切な算定・陰口)で流されない,報告記録・管理者所見・360度,,,,,,
②察知と発信,S2-1,「いつもと違う」を当日中に報告している,報告の件数と中身・その後の転帰,,,,,,
②察知と発信,S2-2,自分の負荷を限界の前に申告している,パルスと自己申告の前後関係・件数/残業データ,,,,,,
②察知と発信,S2-3,ヒヤリハットを自分から出している(多いほど加点),ヒヤリハット提出数,,,,,,
③当事者責任,S3-1,担当利用者の書類を督促されずに期限内に完結している,期限遵守率・督促回数,,,,,,
③当事者責任,S3-2,「聞いていない」を理由にしない。自分から取りに行く,管理者所見+具体事例,,,,,,
③当事者責任,S3-3,自分の訪問の質を自分で管理している,記録遅延率・訪問時間乖離・指摘件数,,,,,,
④支援行動,S4-1,空いた時間をチームの穴埋めに使っている,代行・応援の実績,,,,,,
④支援行動,S4-2,後輩の質問に手を止めて答え「なぜ」まで渡している(※G1除外),新人からの360度・同行記録,,,,,,
④支援行動,S4-3,利用者・家族の言えていない困りごとを拾い多職種につなぐ,連携記録・ケアマネ/医師の評価,,,,,,
⑤約束履行,S5-1,利用者・家族との約束を100%実行している,苦情・指摘件数,,,,,,
⑤約束履行,S5-2,期限を守る。守れないときは事前に連絡している,期限遵守率・事前連絡の有無,,,,,,
⑤約束履行,S5-3,申し送りが次の訪問者が困らない形で残っている,受け手側の相互チェック(月1),,,,,,
⑥誠実さ,S6-1,できないこと・分からないことを正直に言える,管理者所見・同行時の観察,,,,,,
⑥誠実さ,S6-2,ミスを隠さず即報告し再発防止まで自分で書いている,報告のタイムラグ・再発防止策の自己記述,,,,,,
⑥誠実さ,S6-3,苦手なことから逃げず時間をかけてでも取り組んでいる,四半期テーマと進捗・1on1記録,,,,,,
⑦学習と適応,S7-1,制度改定・新処置・システム変更に指示前に追いついている,勉強会での発言・制度改定時の対応,,,,,,
⑦学習と適応,S7-2,学んだことを他の人に渡している(年2回以上),共有の実施回数,,,,,,
⑦学習と適応,S7-3,フィードバックで行動が変わる。同じ指摘を3回繰り返さない,前回指摘の解消率,,,,,,
⑧信頼と求心力,S8-1,利用者・家族から継続・指名の希望がある,担当継続率・家族の声,,,,,,
⑧信頼と求心力,S8-2,同僚から「この人と組みたい」と言われる,360度(年1回・匿名),,,,,,
⑧信頼と求心力,S8-3,不在の人の話を悪く語らない。派閥・陰口に加担しない,管理者所見・360度・パルス自由記述,,,,,,
,,,行動スコア合計(72点満点),,,,,,
,,,100点換算,,,,,,
,,,成果スコア(100点満点),,,,,,
,,,総合スコア(行動70%+成果30%),,,,,,
,,,,,,,,,
評価面談メモ,,,,,,,,,
伝えた事実,,,,,,,,,
次期のテーマ(1つだけ),,,,,,,,,
本人からの依頼(次回冒頭で結果を返す),,,,,,,,,
